NAAM;length_km;area_km;dens_km;Niveau
Lo-Reninge;192,91;63,40;3,04;Gemeente
Ieper;644,34;131,46;4,90;Gemeente
Mesen;11,74;3,60;3,27;Gemeente
Poperinge;504,00;120,37;4,19;Gemeente
Wervik;260,17;43,77;5,94;Gemeente
Zonnebeke;324,98;68,09;4,77;Gemeente
Heuvelland;369,88;94,79;3,90;Gemeente
Langemark-Poelkapelle;201,61;53,07;3,80;Gemeente
Vleteren;145,68;38,58;3,78;Gemeente
Anzegem;249,01;42,35;5,88;Gemeente
Avelgem;128,90;22,12;5,83;Gemeente
Deerlijk;143,21;16,97;8,44;Gemeente
Harelbeke;265,15;29,40;9,02;Gemeente
Kortrijk;713,33;80,69;8,84;Gemeente
Kuurne;102,18;10,11;10,11;Gemeente
Lendelede;76,88;13,27;5,79;Gemeente
Menen;281,15;33,16;8,48;Gemeente
Waregem;395,93;44,50;8,90;Gemeente
Wevelgem;308,89;39,14;7,89;Gemeente
Zwevegem;356,34;63,61;5,60;Gemeente
Spiere-Helkijn;49,52;10,82;4,58;Gemeente
Bredene;160,99;14,25;11,30;Gemeente
Gistel;202,47;42,84;4,73;Gemeente
Ichtegem;214,43;45,78;4,68;Gemeente
Middelkerke;414,03;79,04;5,24;Gemeente
Oostende;441,65;40,95;10,78;Gemeente
Oudenburg;167,04;35,60;4,69;Gemeente
De Haan;255,23;46,14;5,53;Gemeente
Hooglede;184,22;38,11;4,83;Gemeente
Ingelmunster;134,15;16,43;8,17;Gemeente
Izegem;249,97;25,64;9,75;Gemeente
Ledegem;144,34;24,83;5,81;Gemeente
Lichtervelde;163,25;26,16;6,24;Gemeente
Moorslede;177,60;35,45;5,01;Gemeente
Roeselare;542,51;60,40;8,98;Gemeente
Staden;215,04;46,82;4,59;Gemeente
Dentergem;137,43;26,09;5,27;Gemeente
Meulebeke;172,61;29,49;5,85;Gemeente
Oostrozebeke;114,33;16,73;6,83;Gemeente
Pittem;177,90;34,69;5,13;Gemeente
Ruiselede;141,77;30,62;4,63;Gemeente
Tielt;367,83;68,85;5,34;Gemeente
Wielsbeke;152,38;21,91;6,95;Gemeente
Wingene;333,69;68,54;4,87;Gemeente
Ardooie;217,19;34,92;6,22;Gemeente
Alveringem;261,95;80,71;3,25;Gemeente
De Panne;156,52;26,63;5,88;Gemeente
Koksijde;346,32;50,36;6,88;Gemeente
Nieuwpoort;211,37;33,28;6,35;Gemeente
Veurne;366,18;97,21;3,77;Gemeente
Aalst;543,42;78,66;6,91;Gemeente
Denderleeuw;107,98;13,87;7,79;Gemeente
Geraardsbergen;337,01;80,06;4,21;Gemeente
Haaltert;155,06;30,52;5,08;Gemeente
Herzele;188,98;47,91;3,94;Gemeente
Lede;163,57;29,89;5,47;Gemeente
Ninove;346,19;73,12;4,73;Gemeente
Sint-Lievens-Houtem;117,96;27,05;4,36;Gemeente
Zottegem;287,35;57,46;5,00;Gemeente
Erpe-Mere;199,02;34,41;5,78;Gemeente
Berlare;215,14;38,23;5,63;Gemeente
Buggenhout;149,38;25,64;5,83;Gemeente
Dendermonde;410,37;56,52;7,26;Gemeente
Hamme;262,07;40,53;6,47;Gemeente
Laarne;150,42;32,58;4,62;Gemeente
Lebbeke;148,98;27,30;5,46;Gemeente
Waasmunster;195,21;32,27;6,05;Gemeente
Wetteren;241,92;37,02;6,54;Gemeente
Wichelen;123,13;23,20;5,31;Gemeente
Zele;209,49;33,28;6,30;Gemeente
Assenede;330,42;87,50;3,78;Gemeente
Eeklo;207,16;30,45;6,80;Gemeente
Kaprijke;127,29;33,64;3,78;Gemeente
Maldegem;457,02;95,63;4,78;Gemeente
Sint-Laureins;253,08;74,54;3,40;Gemeente
Zelzate;130,30;13,77;9,46;Gemeente
De Pinte;126,62;17,78;7,12;Gemeente
Destelbergen;214,84;26,71;8,04;Gemeente
Evergem;435,13;75,38;5,77;Gemeente
Gavere;181,79;31,60;5,75;Gemeente
Gent;1617,49;157,77;10,25;Gemeente
Lochristi;321,34;60,66;5,30;Gemeente
Melle;135,23;15,34;8,82;Gemeente
Merelbeke;242,83;37,00;6,56;Gemeente
Moerbeke;150,04;37,93;3,96;Gemeente
Nazareth;217,43;35,44;6,14;Gemeente
Oosterzele;209,58;43,57;4,81;Gemeente
Sint-Martens-Latem;118,90;14,45;8,23;Gemeente
Wachtebeke;174,55;34,63;5,04;Gemeente
Zulte;210,93;32,76;6,44;Gemeente
Deinze;681,97;128,03;5,33;Gemeente
Aalter;584,82;119,85;4,88;Gemeente
Lievegem;388,11;80,78;4,80;Gemeente
Oudenaarde;428,23;68,92;6,21;Gemeente
Ronse;212,71;34,70;6,13;Gemeente
Brakel;236,03;56,96;4,14;Gemeente
Kluisbergen;153,17;30,63;5,00;Gemeente
Wortegem-Petegem;202,64;42,47;4,77;Gemeente
Horebeke;48,68;11,25;4,33;Gemeente
Lierde;91,83;26,32;3,49;Gemeente
Maarkedal;196,45;46,16;4,26;Gemeente
Zwalm;174,03;33,88;5,14;Gemeente
Kruisem;389,28;71,59;5,44;Gemeente
Beveren;633,76;152,69;4,15;Gemeente
Kruibeke;171,25;33,53;5,11;Gemeente
Lokeren;439,51;68,24;6,44;Gemeente
Sint-Gillis-Waas;260,28;55,49;4,69;Gemeente
Sint-Niklaas;467,41;84,20;5,55;Gemeente
Stekene;230,26;45,26;5,09;Gemeente
Temse;246,81;40,10;6,16;Gemeente
As;122,73;22,13;5,55;Gemeente
Beringen;485,68;78,56;6,18;Gemeente
Diepenbeek;253,52;41,41;6,12;Gemeente
Genk;803,00;87,57;9,17;Gemeente
Gingelom;240,11;56,34;4,26;Gemeente
Halen;150,59;36,60;4,11;Gemeente
Hasselt;767,23;102,69;7,47;Gemeente
Herk-de-Stad;206,33;43,03;4,80;Gemeente
Leopoldsburg;182,48;22,60;8,08;Gemeente
Lummen;284,85;53,70;5,30;Gemeente
Nieuwerkerken;101,41;22,51;4,51;Gemeente
Sint-Truiden;587,54;107,12;5,48;Gemeente
Tessenderlo;312,71;51,64;6,06;Gemeente
Zonhoven;226,74;39,67;5,71;Gemeente
Zutendaal;192,28;32,11;5,99;Gemeente
Ham;184,70;32,79;5,63;Gemeente
Heusden-Zolder;349,12;53,40;6,54;Gemeente
Bocholt;285,11;59,29;4,81;Gemeente
Bree;326,87;64,98;5,03;Gemeente
Kinrooi;267,09;54,80;4,87;Gemeente
Lommel;608,51;102,28;5,95;Gemeente
Maaseik;424,23;77,18;5,50;Gemeente
Peer;369,32;87,24;4,23;Gemeente
Hamont-Achel;207,41;43,73;4,74;Gemeente
Hechtel-Eksel;274,94;76,68;3,59;Gemeente
Houthalen-Helchteren;382,08;78,23;4,88;Gemeente
Dilsen-Stokkem;338,84;65,89;5,14;Gemeente
Oudsbergen;474,89;116,37;4,08;Gemeente
Pelt;494,68;83,78;5,90;Gemeente
Alken;147,71;28,24;5,23;Gemeente
Bilzen;437,74;75,98;5,76;Gemeente
Borgloon;226,80;51,32;4,42;Gemeente
Heers;210,57;53,06;3,97;Gemeente
Herstappe;5,39;1,35;4,00;Gemeente
Hoeselt;165,22;30,10;5,49;Gemeente
Kortessem;134,96;33,99;3,97;Gemeente
Lanaken;344,32;58,95;5,84;Gemeente
Riemst;326,43;58,06;5,62;Gemeente
Tongeren;440,29;87,81;5,01;Gemeente
Wellen;108,22;26,80;4,04;Gemeente
Maasmechelen;468,72;76,85;6,10;Gemeente
Voeren;149,86;50,61;2,96;Gemeente
Antwerpen;17430,85;2876,17;6,06;Provincie
Vlaams Brabant;12358,67;2118,38;5,83;Provincie
West-Vlaanderen;17495,40;3196,63;5,47;Provincie
Oost-Vlaanderen;16651,84;3007,10;5,54;Provincie
Limburg;13071,17;2427,45;5,38;Provincie
Vlaams Gewest;77007,92;13625,73;5,65;Vlaanderen
1;11431,93105;2180,876729;5,241896939;Faunabeheerzone
2;8944,635576;1593,23614;5,61413048;Faunabeheerzone
3;8652,206949;1601,076786;5,403992502;Faunabeheerzone
4;9931,300757;1624,269041;6,114320047;Faunabeheerzone
5;9059,351087;1693,928218;5,348131632;Faunabeheerzone
6;10495,06455;1514,214452;6,931029176;Faunabeheerzone
7;6661,803748;1290,355348;5,162766798;Faunabeheerzone
8;2402,340672;375,4722318;6,398184654;Faunabeheerzone
9;9305,82359;1700,160328;5,473497669;Faunabeheerzone
10;154,3958427;50,69584493;3,045532487;Faunabeheerzone
101;958,16;265,40;3,61;WBE
102;947,29;209,53;4,52;WBE
103;250,98;77,49;3,24;WBE
104;506,63;44,00;11,52;WBE
105;1328,72;234,51;5,67;WBE
106;415,86;105,65;3,94;WBE
107;485,48;80,90;6,00;WBE
108;654,48;86,88;7,53;WBE
109;561,87;134,38;4,18;WBE
110;1022,54;222,76;4,59;WBE
113;483,20;112,61;4,29;WBE
114;355,21;101,74;3,49;WBE
115;591,63;98,00;6,04;WBE
116;698,17;129,32;5,40;WBE
117;566,44;149,41;3,79;WBE
118;620,44;153,15;4,05;WBE
120;62,36;17,69;3,52;WBE
121;1393,31;223,06;6,25;WBE
122;805,87;157,28;5,12;WBE
124;189,54;63,29;2,99;WBE
125;296,29;43,80;6,76;WBE
126;50,94;17,02;2,99;WBE
128;497,23;88,66;5,61;WBE
130;298,88;90,02;3,32;WBE
201;64,85;14,62;4,44;WBE
202;245,21;58,58;4,19;WBE
203;105,52;28,26;3,73;WBE
204;140,88;45,93;3,07;WBE
206;224,08;51,79;4,33;WBE
207;316,67;48,45;6,54;WBE
209;184,36;47,07;3,92;WBE
210;454,31;89,80;5,06;WBE
213;501,50;130,08;3,86;WBE
214;569,39;104,55;5,45;WBE
215;307,16;47,82;6,42;WBE
216;97,18;24,84;3,91;WBE
217;267,86;56,45;4,75;WBE
218;113,28;19,77;5,73;WBE
220;144,89;33,67;4,30;WBE
221;135,67;38,03;3,57;WBE
222;741,62;122,92;6,03;WBE
223;302,90;55,04;5,50;WBE
224;737,31;147,91;4,98;WBE
225;139,55;33,66;4,15;WBE
227;190,81;40,44;4,72;WBE
228;261,26;59,15;4,42;WBE
229;394,71;73,55;5,37;WBE
230;145,70;31,64;4,61;WBE
231;231,58;35,13;6,59;WBE
232;476,88;70,60;6,75;WBE
235;223,06;40,43;5,52;WBE
236;110,18;17,17;6,42;WBE
237;127,34;24,25;5,25;WBE
238;522,13;80,99;6,45;WBE
239;542,58;110,33;4,92;WBE
240;1327,77;274,75;4,83;WBE
241;286,67;41,98;6,83;WBE
242;1347,38;273,20;4,93;WBE
243;242,14;58,26;4,16;WBE
245;328,91;57,54;5,72;WBE
246;181,29;43,32;4,19;WBE
248;148,86;29,30;5,08;WBE
249;72,45;18,31;3,96;WBE
250;106,29;24,61;4,32;WBE
251;216,80;33,64;6,44;WBE
252;261,62;38,40;6,81;WBE
253;62,03;13,84;4,48;WBE
254;83,84;15,78;5,31;WBE
301;156,90;24,74;6,34;WBE
302;726,46;86,99;8,35;WBE
303;1136,13;152,48;7,45;WBE
304;380,41;90,34;4,21;WBE
305;209,61;38,27;5,48;WBE
306;131,11;29,75;4,41;WBE
307;324,70;83,46;3,89;WBE
308;100,00;25,63;3,90;WBE
309;417,43;99,94;4,18;WBE
310;151,75;32,20;4,71;WBE
312;294,30;52,15;5,64;WBE
313;369,60;61,23;6,04;WBE
314;264,65;55,92;4,73;WBE
315;318,24;72,57;4,39;WBE
316;283,15;60,20;4,70;WBE
317;565,22;73,66;7,67;WBE
318;213,80;40,70;5,25;WBE
319;142,27;38,41;3,70;WBE
320;523,75;76,74;6,82;WBE
321;34,52;22,78;1,52;WBE
322;860,12;147,29;5,84;WBE
323;432,53;68,90;6,28;WBE
324;188,86;28,87;6,54;WBE
325;293,41;60,79;4,83;WBE
326;244,63;47,25;5,18;WBE
327;60,76;18,91;3,21;WBE
328;299,47;80,85;3,70;WBE
329;176,98;32,09;5,52;WBE
331;552,27;95,68;5,77;WBE
332;197,81;53,46;3,70;WBE
334;739,20;104,54;7,07;WBE
335;140,23;40,88;3,43;WBE
337;322,36;53,86;5,99;WBE
338;432,65;68,35;6,33;WBE
339;24,39;16,21;1,50;WBE
341;258,53;42,31;6,11;WBE
342;147,91;25,83;5,73;WBE
343;565,28;107,72;5,25;WBE
344;115,45;23,16;4,98;WBE
345;383,61;57,03;6,73;WBE
346;280,64;43,57;6,44;WBE
347;250,46;49,11;5,10;WBE
401;295,34;49,36;5,98;WBE
402;258,21;53,58;4,82;WBE
403;123,13;22,36;5,51;WBE
404;487,02;93,32;5,22;WBE
405;190,73;47,30;4,03;WBE
406;421,64;83,94;5,02;WBE
407;333,65;80,29;4,16;WBE
409;340,84;80,54;4,23;WBE
410;139,45;33,35;4,18;WBE
411;274,60;46,81;5,87;WBE
412;124,70;34,79;3,58;WBE
413;227,06;43,65;5,20;WBE
415;165,98;35,34;4,70;WBE
416;414,26;96,91;4,27;WBE
417;729,90;132,77;5,50;WBE
419;329,52;78,17;4,22;WBE
420;533,94;73,31;7,28;WBE
421;351,79;74,79;4,70;WBE
422;192,16;46,62;4,12;WBE
424;569,33;107,76;5,28;WBE
425;107,67;23,72;4,54;WBE
426;575,11;103,16;5,57;WBE
429;274,83;60,82;4,52;WBE
430;123,17;25,90;4,76;WBE
431;124,29;20,14;6,17;WBE
432;231,94;45,02;5,15;WBE
433;132,58;32,64;4,06;WBE
434;303,67;56,54;5,37;WBE
436;302,97;56,99;5,32;WBE
437;781,09;104,50;7,47;WBE
438;403,02;65,17;6,18;WBE
439;149,40;50,61;2,95;WBE
440;249,96;41,53;6,02;WBE
441;308,10;67,60;4,56;WBE
442;431,26;80,24;5,37;WBE
444;91,06;20,23;4,50;WBE
445;79,64;21,49;3,71;WBE
446;111,05;19,47;5,70;WBE
503;297,36;46,90;6,34;WBE
504;445,36;69,16;6,44;WBE
505;247,54;60,74;4,08;WBE
506;270,55;80,49;3,36;WBE
507;470,52;92,99;5,06;WBE
508;153,85;32,27;4,77;WBE
509;126,49;22,48;5,63;WBE
510;157,32;29,39;5,35;WBE
511;286,86;62,89;4,56;WBE
512;85,65;23,35;3,67;WBE
514;55,44;14,76;3,76;WBE
521;119,77;26,54;4,51;WBE
522;218,58;47,16;4,63;WBE
523;606,47;102,89;5,89;WBE
524;367,40;77,08;4,77;WBE
525;511,77;89,77;5,70;WBE
526;1074,26;181,01;5,93;WBE
527;217,19;55,77;3,89;WBE
528;40,99;13,81;2,97;WBE
529;191,91;33,09;5,80;WBE
531;175,02;50,85;3,44;WBE
532;270,69;63,26;4,28;WBE
533;378,17;93,56;4,04;WBE
534;130,83;31,90;4,10;WBE
535;340,61;95,20;3,58;WBE
536;364,88;74,37;4,91;WBE
537;76,31;17,34;4,40;WBE
539;72,68;18,37;3,96;WBE
540;304,72;49,71;6,13;WBE
541;258,96;46,38;5,58;WBE
542;89,72;15,38;5,84;WBE
543;50,18;11,08;4,53;WBE
544;140,48;23,91;5,88;WBE
101;667,81;235,17;2,84;jachtterrein
102;672,29;174,23;3,86;jachtterrein
103;229,72;75,55;3,04;jachtterrein
104;15,98;3,14;5,08;jachtterrein
105;615,43;150,39;4,09;jachtterrein
106;271,01;84,28;3,22;jachtterrein
107;258,96;63,05;4,11;jachtterrein
108;245,96;49,87;4,93;jachtterrein
109;426,41;120,82;3,53;jachtterrein
110;608,01;162,09;3,75;jachtterrein
113;323,36;90,25;3,58;jachtterrein
114;276,00;86,73;3,18;jachtterrein
115;373,42;79,68;4,69;jachtterrein
116;388,52;101,15;3,84;jachtterrein
117;410,24;130,76;3,14;jachtterrein
118;489,33;137,40;3,56;jachtterrein
120;48,08;15,10;3,19;jachtterrein
121;832,87;174,30;4,78;jachtterrein
122;628,88;137,68;4,57;jachtterrein
124;117,77;45,58;2,58;jachtterrein
125;126,47;29,42;4,30;jachtterrein
126;44,10;15,05;2,93;jachtterrein
128;178,71;63,76;2,80;jachtterrein
130;204,85;74,02;2,77;jachtterrein
201;45,10;12,23;3,69;jachtterrein
202;181,06;49,66;3,65;jachtterrein
203;46,54;20,12;2,31;jachtterrein
204;127,12;43,69;2,91;jachtterrein
206;151,03;44,58;3,39;jachtterrein
207;109,67;30,66;3,58;jachtterrein
209;91,46;38,72;2,36;jachtterrein
210;323,14;74,11;4,36;jachtterrein
213;355,29;108,82;3,26;jachtterrein
214;307,77;71,24;4,32;jachtterrein
215;117,83;28,87;4,08;jachtterrein
216;98,17;25,11;3,91;jachtterrein
217;162,48;44,42;3,66;jachtterrein
218;44,48;11,26;3,95;jachtterrein
220;90,87;27,65;3,29;jachtterrein
221;104,62;34,48;3,03;jachtterrein
222;343,10;86,57;3,96;jachtterrein
223;78,74;21,67;3,63;jachtterrein
224;396,48;110,43;3,59;jachtterrein
225;69,11;25,24;2,74;jachtterrein
227;91,23;29,67;3,08;jachtterrein
228;139,00;43,16;3,22;jachtterrein
229;159,16;46,81;3,40;jachtterrein
230;83,37;22,82;3,65;jachtterrein
231;115,91;22,43;5,17;jachtterrein
232;131,34;34,13;3,85;jachtterrein
235;152,70;34,36;4,44;jachtterrein
236;49,38;11,17;4,42;jachtterrein
237;90,97;20,86;4,36;jachtterrein
238;175,36;46,58;3,76;jachtterrein
239;384,77;92,47;4,16;jachtterrein
240;863,83;217,09;3,98;jachtterrein
241;62,58;18,18;3,44;jachtterrein
242;497,87;157,43;3,16;jachtterrein
243;177,15;49,92;3,55;jachtterrein
245;203,04;41,77;4,86;jachtterrein
246;142,21;35,92;3,96;jachtterrein
248;64,90;20,88;3,11;jachtterrein
249;62,16;14,65;4,24;jachtterrein
250;87,63;23,35;3,75;jachtterrein
251;113,83;24,04;4,73;jachtterrein
252;115,59;28,05;4,12;jachtterrein
253;46,90;11,65;4,02;jachtterrein
254;58,67;11,83;4,96;jachtterrein
301;128,86;21,11;6,11;jachtterrein
302;128,83;33,82;3,81;jachtterrein
303;131,50;29,34;4,48;jachtterrein
304;198,53;66,38;2,99;jachtterrein
305;29,56;15,77;1,87;jachtterrein
306;106,34;24,54;4,33;jachtterrein
307;154,08;51,92;2,97;jachtterrein
308;74,32;22,23;3,34;jachtterrein
309;143,86;51,42;2,80;jachtterrein
310;73,73;24,04;3,07;jachtterrein
312;126,53;36,31;3,48;jachtterrein
313;196,83;42,62;4,62;jachtterrein
314;122,25;35,59;3,43;jachtterrein
315;190,41;56,75;3,35;jachtterrein
316;113,10;39,39;2,87;jachtterrein
317;138,83;34,04;4,08;jachtterrein
318;50,16;19,55;2,57;jachtterrein
319;84,24;24,34;3,46;jachtterrein
320;163,78;35,81;4,57;jachtterrein
321;22,25;17,77;1,25;jachtterrein
322;187,67;46,72;4,02;jachtterrein
323;111,92;33,40;3,35;jachtterrein
324;79,15;17,30;4,57;jachtterrein
325;180,58;40,61;4,45;jachtterrein
326;125,39;34,62;3,62;jachtterrein
327;44,29;15,89;2,79;jachtterrein
328;175,77;56,19;3,13;jachtterrein
329;134,92;26,75;5,04;jachtterrein
331;195,33;54,87;3,56;jachtterrein
332;128,47;43,64;2,94;jachtterrein
334;257,40;59,85;4,30;jachtterrein
335;66,09;28,80;2,29;jachtterrein
337;155,76;33,59;4,64;jachtterrein
338;85,20;24,78;3,44;jachtterrein
339;17,11;14,39;1,19;jachtterrein
341;105,98;25,99;4,08;jachtterrein
342;64,86;16,99;3,82;jachtterrein
343;244,98;70,09;3,49;jachtterrein
344;52,32;16,01;3,27;jachtterrein
345;132,72;30,85;4,30;jachtterrein
346;141,32;30,00;4,71;jachtterrein
347;148,70;34,43;4,32;jachtterrein
401;95,44;29,60;3,22;jachtterrein
402;140,63;40,88;3,44;jachtterrein
403;47,87;14,57;3,29;jachtterrein
404;176,73;56,89;3,11;jachtterrein
405;147,69;41,05;3,60;jachtterrein
406;258,19;66,70;3,87;jachtterrein
407;254,07;66,22;3,84;jachtterrein
409;242,97;70,44;3,45;jachtterrein
410;96,56;29,44;3,28;jachtterrein
411;120,87;28,01;4,32;jachtterrein
412;106,55;32,52;3,28;jachtterrein
413;175,22;32,28;5,43;jachtterrein
415;106,95;25,54;4,19;jachtterrein
416;226,77;50,88;4,46;jachtterrein
417;195,83;54,30;3,61;jachtterrein
419;282,20;71,89;3,93;jachtterrein
420;146,53;27,61;5,31;jachtterrein
421;203,71;57,95;3,52;jachtterrein
422;138,89;40,45;3,43;jachtterrein
424;180,71;62,82;2,88;jachtterrein
425;87,46;21,59;4,05;jachtterrein
426;367,13;82,00;4,48;jachtterrein
429;166,47;46,34;3,59;jachtterrein
430;82,73;21,85;3,79;jachtterrein
431;87,54;17,13;5,11;jachtterrein
432;121,61;29,34;4,14;jachtterrein
