"ID";"wildsoort";"afschotjaar";"afschot_datum";"provincie";"geslacht.MF";"leeftijdscategorie_MF";"ontweid_gewicht";"aantal_embryos_onbekend";"aantal_embryos";"onderkaaklengte_links";"onderkaaklengte_rechts";"doodsoorzaak";"leeftijd_maanden";"lengte_mm";"Leeftijdscategorie_onderkaak"
54;"Ree";2016;"2016-08-01";"Antwerpen";"Mannelijk";"Volwassen";12;TRUE;NA;147;NA;"afschot";NA;NA;"Niet ingezameld"
55;"Ree";2014;"2014-01-11";"Antwerpen";"Vrouwelijk";"Volwassen";19,5;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
56;"Ree";2015;"2015-05-02";"Antwerpen";"Mannelijk";"Jongvolwassen";13;NA;NA;153;153;"afschot";NA;NA;"Niet ingezameld"
57;"Ree";2017;"2017-05-24";"Antwerpen";"Mannelijk";"Volwassen";15,5;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
58;"Ree";2016;"2016-01-27";"Antwerpen";"Vrouwelijk";"Volwassen";14,5;FALSE;2;160;160;"afschot";NA;NA;"Niet ingezameld"
59;"Wild zwijn";2016;"2016-06-24";"Limburg";"Mannelijk";"Frisling";65;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
60;"Ree";2016;"2016-09-13";"Antwerpen";"Mannelijk";"Volwassen";18,5;TRUE;NA;158;158;"afschot";NA;NA;"Niet ingezameld"
61;"Ree";2016;"2016-08-25";"Limburg";"Mannelijk";"Volwassen";15;TRUE;NA;155;NA;"afschot";NA;NA;"Niet ingezameld"
62;"Ree";2016;"2016-01-26";"Antwerpen";"Vrouwelijk";"Jongvolwassen";12,7;FALSE;0;150;150;"afschot";100;NA;"Adult"
63;"Ree";2015;"2015-01-03";"Limburg";"Vrouwelijk";"Kits";9,5;FALSE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
64;"Ree";2017;"2017-03-31";"Limburg";"Vrouwelijk";"Kits";10;FALSE;0;145;NA;"afschot";NA;NA;"Niet ingezameld"
65;"Ree";2014;"2014-02-17";"Limburg";"Vrouwelijk";"Volwassen";16,5;FALSE;2;149;147;"afschot";NA;NA;"Niet ingezameld"
66;"Ree";2014;"2014-07-15";"Antwerpen";"Mannelijk";"Jongvolwassen";14;TRUE;NA;158;158;"afschot";NA;NA;"Niet ingezameld"
67;"Ree";2014;"2014-01-16";NA;"Vrouwelijk";"Kits";12;FALSE;0;145;145;"afschot";NA;NA;"Niet ingezameld"
68;"Wild zwijn";2012;"2012-08-31";"Limburg";"Vrouwelijk";"Frisling";35;NA;NA;NA;NA;"afschot";17;NA;"Adult"
69;"Ree";2014;"2014-05-01";"Antwerpen";"Mannelijk";"Jongvolwassen";16;TRUE;NA;147;147;"afschot";NA;NA;"Niet ingezameld"
70;"Ree";2017;"2017-02-19";"Limburg";"Vrouwelijk";"Kits";14;FALSE;0;120;NA;"afschot";NA;NA;"Niet ingezameld"
71;"Ree";2016;"2016-03-09";"Limburg";"Vrouwelijk";"Kits";13,5;TRUE;NA;140;140;"afschot";10;145;"Kits"
72;"Ree";2016;"2016-03-30";"Antwerpen";"Vrouwelijk";"Kits";12;TRUE;NA;145;145;"afschot";11;144;"Kits"
73;"Ree";2016;"2016-02-13";"Limburg";"Mannelijk";"Kits";11,3;TRUE;NA;140;140;"afschot";8;135;"Kits"
74;"Ree";2016;"2016-03-10";"Antwerpen";"Mannelijk";"Kits";10,3;TRUE;NA;141;141;"afschot";10;138;"Kits"
75;"Ree";2015;"2015-08-22";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";17,1;TRUE;NA;149;148;"afschot";NA;NA;"Niet ingezameld"
76;"Ree";2016;"2016-09-04";"Oost-Vlaanderen";"Mannelijk";"Volwassen";20;TRUE;NA;165;165;"afschot";NA;NA;"Niet ingezameld"
77;"Ree";2017;"2017-05-11";"Limburg";"Mannelijk";"Volwassen";17;TRUE;NA;158;NA;"afschot";NA;NA;"Niet ingezameld"
78;"Ree";2014;"2014-02-01";"Vlaams-Brabant";"Vrouwelijk";"Kits";11,5;TRUE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
79;"Wild zwijn";2012;"2012-11-30";"Limburg";"Mannelijk";"Frisling";33;NA;NA;NA;NA;"afschot";9;NA;"Overloper"
80;"Ree";2016;"2016-07-03";NA;"Mannelijk";"Jongvolwassen";16,6;TRUE;NA;149;150;"afschot";NA;NA;"Niet ingezameld"
81;"Wild zwijn";2017;"2017-02-12";"Limburg";"Vrouwelijk";"Overloper";30;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
82;"Ree";2017;"2017-01-13";"Antwerpen";"Vrouwelijk";"Kits";9,4;FALSE;0;133;NA;"afschot";NA;NA;"Niet ingezameld"
83;"Ree";2016;"2016-08-18";"Vlaams-Brabant";"Mannelijk";"Volwassen";18;TRUE;NA;155;NA;"afschot";NA;NA;"Niet ingezameld"
84;"Wild zwijn";2014;"2014-05-17";"Antwerpen";"Vrouwelijk";"Frisling";25;FALSE;0;NA;NA;"afschot";2;NA;"Frisling"
85;"Ree";2014;"2014-07-24";"Vlaams-Brabant";"Mannelijk";"Volwassen";18;TRUE;NA;150;149;"afschot";NA;NA;"Niet ingezameld"
86;"Ree";2016;"2016-03-12";"Limburg";"Vrouwelijk";"Kits";9;FALSE;0;140;140;"afschot";NA;NA;"Niet ingezameld"
87;"Wild zwijn";2015;"2015-01-27";"Antwerpen";"Vrouwelijk";"Frisling";29;FALSE;4;NA;NA;"afschot";8;NA;"Frisling"
88;"Ree";2015;"2015-05-13";"Limburg";"Mannelijk";"Volwassen";20,3;NA;NA;151;151;"afschot";13;153;"Jongvolwassen"
89;"Wild zwijn";2017;"2017-02-07";"Limburg";"Vrouwelijk";"Frisling";26;FALSE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
90;"Ree";2017;"2017-03-20";"Antwerpen";"Mannelijk";"Kits";13,1;TRUE;NA;134;NA;"afschot";NA;NA;"Niet ingezameld"
91;"Ree";2014;"2014-01-12";"Oost-Vlaanderen";"Vrouwelijk";"Jongvolwassen";15,5;FALSE;0;150;150;"afschot";NA;NA;"Niet ingezameld"
92;"Ree";2015;"2015-02-12";"Limburg";"Mannelijk";"Kits";12;TRUE;NA;143;143;"afschot";NA;NA;"Niet ingezameld"
93;"Ree";2016;"2016-03-17";"Limburg";"Mannelijk";"Kits";11;TRUE;NA;140;140;"afschot";10;134;"Kits"
94;"Ree";2015;"2015-01-24";"Limburg";"Mannelijk";"Kits";13;TRUE;NA;136;136;"afschot";NA;NA;"Niet ingezameld"
95;"Ree";2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";10;NA;"Kits"
96;"Ree";2015;"2015-03-09";"Antwerpen";"Vrouwelijk";"Kits";11;FALSE;0;144;144;"afschot";NA;143;"Kits"
97;"Ree";2016;"2016-03-08";"Antwerpen";"Vrouwelijk";"Kits";12,3;FALSE;0;143;143;"afschot";11;145;"Kits"
98;"Ree";2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
99;"Ree";2014;"2014-03-15";"Antwerpen";"Vrouwelijk";"Kits";13;FALSE;NA;151;151;"afschot";NA;NA;"Niet ingezameld"
100;"Ree";2017;"2017-02-21";"Limburg";"Mannelijk";"Kits";12,5;TRUE;NA;135;NA;"afschot";NA;NA;"Niet ingezameld"
101;"Ree";2015;"2015-09-19";"Limburg";"Mannelijk";"Volwassen";17;TRUE;NA;165;165;"afschot";NA;NA;"Niet ingezameld"
102;"Wild zwijn";2011;"2011-10-05";"Limburg";"Vrouwelijk";"Frisling";23;NA;NA;NA;NA;"afschot";9;NA;"Overloper"
103;"Wild zwijn";2016;"2016-11-20";"Antwerpen";"Vrouwelijk";"Frisling";20,9;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
104;"Ree";2015;"2015-05-15";"Antwerpen";"Mannelijk";"Volwassen";22,1;TRUE;NA;153;153;"afschot";NA;NA;"Niet ingezameld"
105;"Ree";2015;"2015-03-23";"Limburg";"Mannelijk";"Kits";7,5;NA;NA;142;142;"afschot";NA;NA;"Niet ingezameld"
106;"Ree";2014;"2014-08-02";"Antwerpen";"Mannelijk";"Volwassen";18,9;TRUE;NA;162;162;"afschot";36;153,86;"Adult"
107;"Wild zwijn";2015;"2015-12-26";"Limburg";"Vrouwelijk";"Frisling";29;FALSE;4;NA;NA;"afschot";8;NA;"Frisling"
108;"Ree";2015;"2015-01-04";"Limburg";"Vrouwelijk";"Volwassen";15;FALSE;0;155;155;"afschot";46;154;"Adult"
109;"Ree";2015;"2015-03-15";"Oost-Vlaanderen";"Vrouwelijk";"Kits";15,8;FALSE;0;140;145;"afschot";NA;139;"Kits"
110;"Ree";2017;"2017-03-25";"Limburg";"Vrouwelijk";"Volwassen";15,5;FALSE;2;158;NA;"afschot";NA;NA;"Niet ingezameld"
111;"Ree";2015;"2015-02-18";"Limburg";"Vrouwelijk";"Kits";11;FALSE;0;140;140;"afschot";NA;NA;"Niet ingezameld"
112;"Ree";2015;"2015-09-05";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";15;TRUE;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
113;"Ree";2015;"2015-03-11";"Limburg";"Vrouwelijk";"Volwassen";17,5;FALSE;2;158;158;"afschot";NA;NA;"Niet ingezameld"
114;"Ree";2016;"2016-01-28";"Oost-Vlaanderen";"Mannelijk";"Kits";13;TRUE;NA;155;NA;"afschot";19;153;"Jongvolwassen"
115;"Ree";2016;"2016-06-16";"Antwerpen";"Mannelijk";"Jongvolwassen";15;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
116;"Ree";2016;"2016-08-21";"Limburg";"Mannelijk";"Volwassen";17;TRUE;NA;161;161;"afschot";NA;NA;"Niet ingezameld"
117;"Ree";2015;"2015-02-15";"Limburg";"Vrouwelijk";"Jongvolwassen";12,5;FALSE;0;155;155;"afschot";NA;NA;"Niet ingezameld"
118;"Ree";2015;"2015-09-02";"Vlaams-Brabant";"Mannelijk";"Volwassen";17;TRUE;NA;165;165;"afschot";NA;NA;"Niet ingezameld"
119;"Ree";2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";8;134;"Kits"
120;"Wild zwijn";2007;"2007-07-11";"Limburg";"Mannelijk";NA;NA;NA;NA;NA;NA;"verdelging ANB";5;NA;"Overloper"
121;"Ree";2014;"2014-01-13";"Antwerpen";"Vrouwelijk";"Volwassen";20;FALSE;2;166;166;"afschot";NA;NA;"Niet ingezameld"
122;"Ree";2015;"2015-08-11";"Antwerpen";"Mannelijk";"Jongvolwassen";16,5;TRUE;NA;152;NA;"afschot";NA;NA;"Niet ingezameld"
123;"Ree";2014;"2014-01-24";"Antwerpen";"Vrouwelijk";"Kits";18;FALSE;2;154;155;"afschot";NA;NA;"Niet ingezameld"
124;"Wild zwijn";2015;"2015-10-28";"Limburg";"Mannelijk";"Volwassen";100,5;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
125;"Ree";2016;"2016-03-01";"Limburg";"Mannelijk";"Kits";11,9;TRUE;NA;147;147;"afschot";11;145;"Kits"
126;"Wild zwijn";2012;"2012-10-26";"Limburg";"Mannelijk";"Overloper";33;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
127;"Wild zwijn";2011;"2011-05-16";"West-Vlaanderen";"Vrouwelijk";"Frisling";18;NA;NA;NA;NA;"afschot";14;NA;"Adult"
128;"Ree";2015;"2015-03-28";"Antwerpen";"Mannelijk";"Kits";14,4;NA;NA;152;152;"afschot";NA;148;"Kits"
129;"Ree";2014;"2014-08-10";"Vlaams-Brabant";"Mannelijk";"Volwassen";19,4;TRUE;NA;165;165;"afschot";NA;NA;"Niet ingezameld"
130;"Ree";2015;"2015-02-21";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";15,7;FALSE;2;150;150;"afschot";NA;NA;"Niet ingezameld"
131;"Ree";2016;"2016-03-16";"Antwerpen";"Vrouwelijk";"Kits";12;FALSE;0;136;136;"afschot";11;136;"Kits"
132;"Ree";2014;"2014-07-01";"Antwerpen";"Mannelijk";"Jongvolwassen";12;TRUE;NA;141;140;"afschot";NA;NA;"Niet ingezameld"
133;"Ree";2016;"2016-02-20";"Vlaams-Brabant";"Mannelijk";"Kits";11;TRUE;NA;147;147;"afschot";9;145;"Kits"
134;"Ree";2016;"2016-08-14";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";16;TRUE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
135;"Ree";2016;"2016-02-29";"Antwerpen";"Vrouwelijk";"Kits";12,4;FALSE;0;140;140;"afschot";11;143;"Kits"
136;"Wild zwijn";2010;"2010-12-19";"Voeren";"Vrouwelijk";"Adult";NA;NA;NA;NA;NA;"afschot";9;NA;"Overloper"
137;"Ree";2016;"2016-08-08";"Antwerpen";"Mannelijk";"Jongvolwassen";15;TRUE;NA;157;157;"afschot";NA;NA;"Niet ingezameld"
138;"Ree";2016;"2016-08-02";"Limburg";"Mannelijk";"Volwassen";18;TRUE;NA;161;162;"afschot";NA;NA;"Niet ingezameld"
139;"Ree";2015;"2015-03-26";"Limburg";"Mannelijk";"Kits";12;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
140;"Ree";2015;"2015-03-28";"Antwerpen";"Mannelijk";"Kits";13,5;TRUE;NA;138;138;"afschot";NA;NA;"Niet ingezameld"
141;"Wild zwijn";2015;"2015-01-21";"Limburg";"Vrouwelijk";"Frisling";50;FALSE;0;NA;NA;"afschot";8;NA;"Frisling"
142;"Ree";2016;"2016-02-19";"Antwerpen";"Vrouwelijk";"Kits";10,5;FALSE;0;131;131;"afschot";10;132;"Kits"
143;"Ree";2015;"2015-03-24";"Limburg";"Vrouwelijk";"Volwassen";10,9;TRUE;NA;153;153;"afschot";NA;NA;"Niet ingezameld"
144;"Wild zwijn";2015;"2015-02-05";"Limburg";"Mannelijk";"Volwassen";66,3;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
145;"Wild zwijn";2015;"2015-01-24";"Voeren";NA;"Frisling";43;FALSE;NA;NA;NA;"afschot";10;NA;"Frisling"
146;"Ree";2015;"2015-08-01";"Antwerpen";"Mannelijk";"Jongvolwassen";14,7;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
147;"Ree";2016;"2016-03-31";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";20,5;FALSE;2;170;170;"afschot";19;166;"Jongvolwassen"
148;"Wild zwijn";2014;"2014-06-12";"Limburg";"Mannelijk";"Volwassen";48;NA;NA;NA;NA;"afschot";15;NA;"Overloper"
149;"Ree";2016;"2016-07-01";"Antwerpen";"Mannelijk";"Jongvolwassen";15;TRUE;NA;156;NA;"afschot";NA;NA;"Niet ingezameld"
150;"Ree";2014;"2014-05-03";"Limburg";"Mannelijk";"Volwassen";14;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
151;"Ree";2016;"2016-03-05";"Antwerpen";"Vrouwelijk";"Kits";12;FALSE;0;140;140;"afschot";10;138;"Kits"
152;"Ree";2015;"2015-03-16";"Limburg";"Vrouwelijk";"Volwassen";12,5;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
153;"Wild zwijn";2016;"2016-04-27";"Voeren";"Mannelijk";"Frisling";18,5;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
154;"Ree";2017;"2017-01-05";"Limburg";"Vrouwelijk";"Kits";9;FALSE;0;140;NA;"afschot";NA;NA;"Niet ingezameld"
155;"Ree";2015;"2015-03-12";"Antwerpen";"Vrouwelijk";"Kits";9,9;TRUE;NA;111;111;"afschot";9;144;"Kits"
156;"Damhert";2011;"2011-03-03";"Limburg";"Vrouwelijk";"Adult";28;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
157;"Wild zwijn";2014;"2014-07-14";"Limburg";"Vrouwelijk";"Frisling";13;FALSE;0;NA;NA;"afschot";5;NA;"Frisling"
158;"Ree";2015;"2015-08-01";"Limburg";"Mannelijk";"Volwassen";18,5;NA;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
159;"Ree";2015;"2015-08-20";"Limburg";"Mannelijk";"Jongvolwassen";16,8;TRUE;NA;150;150;"afschot";14;151;"Jongvolwassen"
160;"Ree";2015;"2015-03-24";"Antwerpen";"Vrouwelijk";"Volwassen";15;FALSE;2;160;160;"afschot";NA;NA;"Niet ingezameld"
161;"Ree";2017;"2017-03-14";"Oost-Vlaanderen";"Vrouwelijk";"Jongvolwassen";13,8;FALSE;0;152;NA;"afschot";NA;NA;"Niet ingezameld"
162;"Ree";2016;"2016-03-31";"Antwerpen";"Vrouwelijk";"Kits";13,5;FALSE;NA;147;NA;"afschot";11;NA;"Kits"
163;"Ree";2014;"2014-07-28";"Limburg";"Mannelijk";"Jongvolwassen";18;NA;NA;158;158;"afschot";NA;NA;"Niet ingezameld"
164;"Ree";2015;"2015-03-15";"Antwerpen";"Mannelijk";"Kits";13,5;TRUE;NA;145;146;"afschot";NA;NA;"Niet ingezameld"
165;"Ree";2014;"2014-01-05";"Antwerpen";"Mannelijk";"Kits";12;NA;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
166;"Ree";2015;"2015-02-25";"Limburg";"Mannelijk";"Kits";15;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
167;"Damhert";2014;"2014-04-16";"West-Vlaanderen";"Vrouwelijk";"Volwassen";40;FALSE;1;NA;NA;"afschot";NA;NA;"Niet ingezameld"
168;"Ree";2016;"2016-05-16";"Oost-Vlaanderen";"Mannelijk";"Volwassen";18;TRUE;NA;165;165;"afschot";NA;NA;"Niet ingezameld"
169;"Ree";2017;"2017-02-16";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";16;FALSE;2;154;NA;"afschot";NA;NA;"Niet ingezameld"
170;"Ree";2015;"2015-02-07";"Oost-Vlaanderen";"Mannelijk";"Kits";10,2;TRUE;NA;144;144;"afschot";NA;138;"Kits"
171;"Ree";2014;"2014-02-09";"Limburg";"Vrouwelijk";"Volwassen";16;FALSE;2;NA;NA;"afschot";NA;NA;"Niet ingezameld"
172;"Wild zwijn";2014;"2014-03-15";"Voeren";"Mannelijk";"Volwassen";58;NA;NA;NA;NA;"afschot";21;NA;"Overloper"
173;"Ree";2017;"2017-01-15";"Vlaams-Brabant";"Mannelijk";"Kits";8,5;TRUE;NA;100;NA;"afschot";NA;NA;"Niet ingezameld"
174;"Wild zwijn";2009;NA;"West-Vlaanderen";NA;NA;NA;NA;NA;NA;NA;"afschot";4;NA;"Overloper"
175;"Ree";2015;"2015-02-07";"Antwerpen";"Vrouwelijk";"Kits";13,3;FALSE;0;145;145;"afschot";NA;146;"Kits"
176;"Ree";2017;"2017-03-15";"Limburg";"Mannelijk";"Kits";12,3;TRUE;NA;160;NA;"afschot";NA;NA;"Niet ingezameld"
177;"Ree";2014;"2014-02-07";"Vlaams-Brabant";"Vrouwelijk";"Jongvolwassen";15,5;FALSE;0;130;130;"afschot";46;NA;"Adult"
178;"Wild zwijn";2013;"2013-10-24";"West-Vlaanderen";"Mannelijk";"Overloper";19;NA;NA;NA;NA;"afschot";5;NA;"Overloper"
