"ID";"wildsoort";"postcode_afschot_locatie";"gemeente_afschot_locatie";"provincie";"afschotjaar"
23314;"Ree";3920;"Lommel";"Limburg";2008
23315;"Ree";3580;"BERINGEN";"Limburg";2016
23316;"Ree";3640;"Gellik";"Limburg";2002
23317;"Ree";2390;"MALLE";"Antwerpen";2017
23318;"Ree";2230;"HERSELT";"Antwerpen";2015
23319;"Ree";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2017
23320;"Ree";3511;"Beringen";"Limburg";2012
23321;"Wild zwijn";2400;"MOL";"Antwerpen";2018
23322;"Ree";3210;"LUBBEEK";"Vlaams-Brabant";2014
23323;"Wild zwijn";3550;"HEUSDEN-ZOLDER";"Limburg";2018
23324;"Ree";2382;"Poppel";"Antwerpen";2005
23325;"Ree";2230;"Herselt";"Antwerpen";2007
23326;"Ree";3512;"Kuringen";"Limburg";2009
23327;"Ree";3290;"Deurne";"Vlaams-Brabant";2012
23328;"Ree";2382;"Poppel";"Antwerpen";2011
23329;"Ree";3583;"Beringen";"Limburg";2010
23330;"Ree";2450;"MEERHOUT";"Antwerpen";2017
23331;"Ree";3990;"PEER";"Limburg";2015
23332;"Ree";3130;"BEGIJNENDIJK";"Vlaams-Brabant";2015
23333;"Ree";3583;"Beringen";"Limburg";2010
23334;"Ree";2300;"TURNHOUT";"Antwerpen";2015
23335;"Ree";3470;"KORTENAKEN";"Vlaams-Brabant";2016
23336;"Ree";2490;"BALEN";"Antwerpen";2017
23337;"Ree";3740;"BILZEN";"Limburg";2018
23338;"Ree";3950;"Bochelt";"Limburg";2003
23339;"Ree";2400;"MOL";"Antwerpen";2014
23340;"Ree";3945;"Ham";"Limburg";2012
23341;"Ree";2880;"Bornem";"Antwerpen";2006
23342;"Ree";2480;"Dessel";"Antwerpen";2007
23343;"Wild zwijn";3680;"MAASEIK";"Limburg";2014
23344;"Ree";2490;"Balen";"Antwerpen";2012
23345;"Ree";9300;"AALST";"Oost-Vlaanderen";2016
23346;"Ree";2500;"LIER";"Antwerpen";2019
23347;"Ree";3740;"Beeverst-Bilzen";"Limburg";2006
23348;"Ree";3690;"Bree";"Limburg";2013
23349;"Ree";3150;"Haacht";"Vlaams-Brabant";2003
23350;"Ree";3950;"Bochelt";"Limburg";2011
23351;"Ree";2300;"OUD-TURNHOUT";"Antwerpen";2008
23352;"Ree";2320;"HOOGSTRATEN";"Antwerpen";2014
23353;"Ree";2220;"Hallaar";"Antwerpen";2011
23354;"Ree";9280;"LEBBEKE";"Oost-Vlaanderen";2018
23355;"Wild zwijn";3550;"HEUSDEN-ZOLDER";"Limburg";2018
23356;"Ree";2400;"MOL";"Antwerpen";2017
23357;"Ree";3990;"Opgrimbie";"Limburg";2004
23358;"Ree";2990;"WUUSTWEZEL";"Antwerpen";2016
23359;"Ree";3150;"HAACHT";"Vlaams-Brabant";2017
23360;"Ree";2370;"Arendonk";"Antwerpen";2008
23361;"Ree";NA;NA;"Limburg";2014
23362;"Ree";3650;"DILSEN-STOKKEM";"Limburg";2019
23363;"Ree";2900;"Schoten";"Antwerpen";2007
23364;"Ree";2230;"Herselt";"Antwerpen";2010
23365;"Ree";3530;"Achel";"Limburg";2011
23366;"Wild zwijn";3950;"BOCHOLT";"Limburg";2017
23367;"Ree";2460;"KASTERLEE";"Antwerpen";2018
23368;"Ree";3945;"HAM";"Limburg";2016
23369;"Ree";3665;"AS";"Limburg";2016
23370;"Ree";9160;"Lokeren";"Oost-Vlaanderen";2012
23371;"Ree";3590;"DIEPENBEEK";"Limburg";2014
23372;"Ree";3530;"Achel";"Limburg";2008
23373;"Ree";3670;"Ellekom";"Limburg";2012
23374;"Ree";3690;"ZUTENDAAL";"Limburg";2018
23375;"Ree";3840;"BORGLOON";"Limburg";2017
23376;"Ree";2382;"Poppel";"Antwerpen";2004
23377;"Ree";2520;"Oelegem";"Antwerpen";2013
23378;"Ree";3360;"Bierbeek";"Vlaams-Brabant";2002
23379;"Ree";3550;"Beringen";"Limburg";2004
23380;"Ree";3950;"Bochelt";"Limburg";2006
23381;"Ree";2400;"MOL";"Antwerpen";2016
23382;"Ree";3530;"Achel";"Limburg";2007
23383;"Ree";9180;"MOERBEKE";"Oost-Vlaanderen";2018
23384;"Ree";NA;NA;"Limburg";2018
23385;"Ree";3020;"Herent";"Vlaams-Brabant";2010
23386;"Ree";2380;"Bornem";"Antwerpen";2013
23387;"Ree";2400;"MOL";"Antwerpen";2016
23388;"Ree";2230;"Herselt";"Antwerpen";2012
23389;"Ree";9160;"LOKEREN";"Oost-Vlaanderen";2014
23390;"Ree";3110;"ROTSELAAR";"Vlaams-Brabant";2017
23391;"Ree";3665;"As";"Limburg";2005
23392;"Ree";3512;"Kuringen";"Limburg";2005
23393;"Ree";2460;"Kasterlee";"Antwerpen";2007
23394;"Ree";3790;"VOEREN";"Voeren";2018
23395;"Wild zwijn";NA;NA;"Limburg";2014
23396;"Ree";3320;"Hoegaarden";"Vlaams-Brabant";2008
23397;"Ree";2500;"LIER";"Antwerpen";2017
23398;"Ree";3220;"HOLSBEEK";"Vlaams-Brabant";2017
23399;"Ree";3580;"BERINGEN";"Limburg";2015
23400;"Ree";3920;"Lommel";"Limburg";2005
23401;"Ree";3945;"Ham";"Limburg";2008
23402;"Ree";2520;"Oelegem";"Antwerpen";2010
23403;"Ree";1980;"Zemst";"Vlaams-Brabant";2013
23404;"Ree";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2018
23405;"Ree";2490;"Balen";"Antwerpen";2004
23406;"Ree";2400;"GEEL";"Antwerpen";2009
23407;"Ree";3581;"Beringen";"Limburg";2003
23408;"Ree";3600;"Genk";"Limburg";2013
23409;"Ree";2430;"Eindhout";"Antwerpen";2002
23410;"Ree";3690;"Bree";"Limburg";2009
23411;"Ree";3970;"Hoogbosch";"Limburg";2002
23412;"Ree";3920;"Lommel";"Limburg";2004
