WBE_Naam_Partij;KboNummer_Partij;PartijNummer;WBE.officieel
Scheldeoord;454284355;232;Scheldeoord
Stoepe-Houtland;454542592;235;Stoepe-Houtland
Tusschenbeeck;451091471;236;Tusschenbeeck
Tussen Dender en Schelde;454090157;237;Tussen Dender en Schelde
Tussen Leie en Schipdonk;452808074;238;Tussen Leie en Schipdonk
Tussen Leie en Schelde;457799319;239;Tussen Schelde en Leie
Vlaamse Ardennen;451356737;240;Vlaamse Ardennen
Waas en Durme;454112131;241;Waas en Durme
Waasland;469134659;242;Waasland
Zoetendaele - De Polders;455554362;243;Zoetendaele-De Polders
Zultoutem;464931490;245;Zultoutem
Canteclaer;865106475;246;Canteclaer
Zuid-Vlaamse Valleien regio 1;455431529;247;De Zuid-Vlaamse Valleien
De Nieuwe Meerskantvallei;863669291;251;De Nieuwe Meerskantvallei
Gewest Aalst;809734224;252;Gewest Aalst
Dendervallei-West;642955590;253;Dendervallei-West
4B;450516104;301;4B
Antwerpen-Zuid Rupelstreek;446637290;302;Antwerpen-Zuid Rupelstreek
Antwerpse Polders Noord;457613237;303;Antwerpse Polders Noord
Bos en Duin Kasterlee;454550017;304;Bos en Duin Kasterlee
Brechtse Heide;460341214;305;Brechtse Heide
Breeven;453353947;306;Breeven
De Aa-Ravels;452108387;307;De Aa-Ravels
De Beneden-Marck;451273593;308;De Beneden-Marck
De Vart;451011101;309;De Vart
Dessel;462285568;310;Dessel
d'Oude Schelde;475113027;311;d'Oude Schelde
Essen;450961215;312;Essen
Geel-Olen 1;453377208;313;Geel-Olen 1
Groot-Lille;452614074;314;Groot-Lille
Groot-Brecht;452893097;315;Groot-Brecht
Groot-Malle;453876955;316;Groot-Malle
Groot-Ranst;455481910;317;Groot-Ranst
Herentals-Vorselaar-Heerle;460236888;318;Herentals-Vorselaar-Heerle
Het Netebroek Balen;450141762;319;Het Netebroek Balen
Jaboom;451858266;320;Jaboom
Postel Jacht en Natuur;461138196;321;Postel Jacht en Natuur
Kalmthout;454996613;322;Kalmthout
Klei en Zand;449899559;323;Klei en zand
Klein-Brabant Rupelstreek;455765683;324;Klein-Brabant Rupelstreek
Laakdal;453059482;325;Laakdal
Maxburg;456345705;326;Maxburg
Meerle-Heerle-Hal;455424601;327;Meerle-Heerle-Hal
Merksplas;461283302;328;Merksplas
Mol;457333719;329;Mol
Nete & Wimp;451749091;331;Nete & Wimp
Noorderkempen;461206987;332;Noorderkempen
Regio Lier;448656969;334;Regio Lier
Retie;454488253;335;Retie
Rupeldal - De Bocht;453121840;337;Rupeldal - De Bocht
Schijnvallei;453391856;338;Schijnvallei
Tulderheide;453902986;339;Tulderheide
De Voorkempen;454108270;340;De Voorkempen
Westerlo-West;452987030;341;Westerlo-West
Zandhovense Heide;456259195;342;Zandhovense Heide
Zuiderkempen;453754122;343;Zuiderkempen
Antwerpse Voorkempen;456339171;344;Antwerpse Voorkempen
Berg en Dal;452810351;345;Berg en Dal
Pitsemburg;810429258;346;Pitsemburg
De Grote Beek;451133439;401;De Grote Beek
Bocholt;436787634;402;Bocholt
Bosbeekvallei;439537187;403;Bosbeekvallei
Capreolus;412958494;404;Capreolus
De Burcht;453096797;405;De Burcht
De Hei;453896157;406;De Hei
De Herk;449013790;407;De Herk
De Korhaan;450282710;409;De Korhaan
De Leeuwerik;448077840;410;De Leeuwerik
Mangelbeek;456087466;411;Mangelbeek
De Molenbeekvallei;463455805;412;De Molenbeekvallei
De Oetervallei;456346002;413;De Oetervallei
De Planck;462318727;414;De Planck
De Vier Rivieren;449178195;415;De Vier Rivieren
De Zandhaas;455452216;416;De Zandhaas
De Zwarte Beek;446912355;417;De Zwarte Beek
Haspengouw;451245087;419;Haspengouw
Hasselt-Oost;463156093;420;Hasselt-Oost
Herkenrode;459126833;421;Herkenrode
Hesbania;444094605;422;Hesbania
Hoogbosch;462319321;423;Hoogbosch
Jacht en Natuur Lommel;416410508;424;Jacht en Natuur Lommel
Jekervallei;450048722;425;Jekervallei
Keha;456791410;426;Keha
Kessenich;451024957;428;Kessenich
Kinrooi;446348369;429;Kinrooi
Het Land van Haspengouw;461628443;430;Land van Haspengouw
Maaslandia;449662306;431;Maaslandia
Nieuwenhoven;461281025;432;Nieuwenhoven
Patrijzenkuilen;445486455;433;Patrijzenkuilen
Perdix;458856421;434;Perdix
St-Michiel;469697853;436;St-Michiel
Suetendael;459598668;437;Suetendael
Tessenderlo;451162242;438;Tessenderlo
Voeren;464623268;439;Voeren
Vogelsanck;458500984;440;Vogelsanck
Warmbeekvallei;445465768;441;Warmbeekvallei
Willekesberg;448439215;442;Willekesberg
Molenbeersel;417187694;444;Molenbeersel
Halense Jachtvrienden;860852333;445;Halense Jachtvrienden
De Prinsenloop;873552603;446;De Prinsenloop
De Pereleer;827802552;447;De Pereleer
Bertembos;457323326;503;Bertembos
De Barebeek;457285318;504;De Barebeek
De Bekkevoortse;463385430;505;De Bekkevoortse
De Kitsen;454700267;506;De Kitsen
Klaverbeek;453997018;507;De Klaverbeek
De Molenbeek;460075948;508;De Molenbeek
Demervallei;473485407;509;Demervallei
Dendervallei West-Pajottenland;456736475;510;Dendervallei West-Pajottenland
De Gete-,de Velpe-, de Menevallei;451933589;511;De Gete-, de Velpe-, de Menevallei
Getevallei;455217832;512;Getevallei
Het Hageland;459112183;514;Het Hageland
Honsem;462808378;516;Honsem
Kravaal;456595925;521;Kravaal
Land van Asse;452562012;522;Land van Asse
Land van Demer, Dijle en Winge;450797404;523;Land van Demer, Dijle en Winge
Meerdaal;454537347;524;Meerdaal
Nederbrabant;456736574;525;Nederbrabant
Oost-Pajottenland;452952782;526;Oost-Pajottenland
R.O.W.;453684341;527;R.O.W.
Sint-Pieters ter Waerden;463729383;528;Sint-Pieters ter Waerden
Suikerstreek;453820339;529;Suikerstreek
Ter Rijst & Holland;463711963;531;Ter Rijst & Holland
Tussen Vaart en Molenbeek;457100424;532;Tussen Vaart en Molenbeek
Tussen Voer & Yse;454066304;533;Tussen Voer & Yse
Vallei van de Kleine Gete;456415880;534;Vallei van de Kleine Gete
Velpedal;451891227;535;Velpedal
Walenbos;865893363;536;Walenbos
Walshoutem;464274959;537;Walshoutem
Winge en Losting;459255309;539;Winge en Losting
Zennevallei;457883253;540;Zennevallei
Demerdal;899311150;541;Demerdal
Demervallei-Zuid;820241106;542;Demervallei-Zuid
Zuid-Vlaamse Valleien regio 2;542964626;250;Zuid-Vlaamse Valleien Regio 2
Austerlitz;536538969;543;Austerlitz
Wild-, Jacht-, Natuurbeheer Diest Oost;460969932;544;Diest Oost
Middenkempen;507757188;347;Middenkempen
Kampel;726995994;254;Kampel
