"","Year","Groep","Score","Question","aantal","Antwoord","Question_label","onderwerp"
"103",2016,"BB",-2,"Q34c",5,"Helemaal niet belangrijk","Aankorrelplaatsen","Jacht"
"104",2016,"BB",-2,"Q34d",5,"Helemaal niet belangrijk","Nachtjacht","Jacht"
"105",2016,"BB",-2,"Q34e",12,"Helemaal niet belangrijk"," Kooien","Kooien"
"106",2016,"BB",-2,"Q34f",79,"Helemaal niet belangrijk","Preventieve maatregelen","Maatregelen"
"107",2016,"BB",-1,"Q34b",3,"Niet belangrijk","Drijfjacht","Jacht"
"108",2016,"BB",-1,"Q34c",8,"Niet belangrijk","Aankorrelplaatsen","Jacht"
"109",2016,"BB",-1,"Q34d",8,"Niet belangrijk","Nachtjacht","Jacht"
"110",2016,"BB",-1,"Q34e",15,"Niet belangrijk"," Kooien","Kooien"
"111",2016,"BB",-1,"Q34f",51,"Niet belangrijk","Preventieve maatregelen","Maatregelen"
"112",2016,"BB",0,"Q34a",8,"Neutraal","Hoogzitjacht","Jacht"
"113",2016,"BB",0,"Q34b",10,"Neutraal","Drijfjacht","Jacht"
"114",2016,"BB",0,"Q34c",9,"Neutraal","Aankorrelplaatsen","Jacht"
"115",2016,"BB",0,"Q34d",13,"Neutraal","Nachtjacht","Jacht"
"116",2016,"BB",0,"Q34e",23,"Neutraal"," Kooien","Kooien"
"117",2016,"BB",0,"Q34f",16,"Neutraal","Preventieve maatregelen","Maatregelen"
"118",2016,"BB",1,"Q34a",29,"Belangrijk","Hoogzitjacht","Jacht"
"119",2016,"BB",1,"Q34b",34,"Belangrijk","Drijfjacht","Jacht"
"120",2016,"BB",1,"Q34c",33,"Belangrijk","Aankorrelplaatsen","Jacht"
"121",2016,"BB",1,"Q34d",29,"Belangrijk","Nachtjacht","Jacht"
"122",2016,"BB",1,"Q34e",25,"Belangrijk"," Kooien","Kooien"
"123",2016,"BB",1,"Q34f",14,"Belangrijk","Preventieve maatregelen","Maatregelen"
"124",2016,"BB",2,"Q34a",148,"Erg belangrijk","Hoogzitjacht","Jacht"
"125",2016,"BB",2,"Q34b",136,"Erg belangrijk","Drijfjacht","Jacht"
"126",2016,"BB",2,"Q34c",133,"Erg belangrijk","Aankorrelplaatsen","Jacht"
"127",2016,"BB",2,"Q34d",133,"Erg belangrijk","Nachtjacht","Jacht"
"128",2016,"BB",2,"Q34e",106,"Erg belangrijk"," Kooien","Kooien"
"129",2016,"BB",2,"Q34f",21,"Erg belangrijk","Preventieve maatregelen","Maatregelen"
"130",2016,"HVV",-2,"Q34a",2,"Helemaal niet belangrijk","Hoogzitjacht","Jacht"
"131",2016,"HVV",-2,"Q34b",14,"Helemaal niet belangrijk","Drijfjacht","Jacht"
"132",2016,"HVV",-2,"Q34c",10,"Helemaal niet belangrijk","Aankorrelplaatsen","Jacht"
"133",2016,"HVV",-2,"Q34d",19,"Helemaal niet belangrijk","Nachtjacht","Jacht"
"134",2016,"HVV",-2,"Q34e",125,"Helemaal niet belangrijk"," Kooien","Kooien"
"135",2016,"HVV",-2,"Q34f",97,"Helemaal niet belangrijk","Preventieve maatregelen","Maatregelen"
"136",2016,"HVV",-1,"Q34a",1,"Niet belangrijk","Hoogzitjacht","Jacht"
"137",2016,"HVV",-1,"Q34b",25,"Niet belangrijk","Drijfjacht","Jacht"
"138",2016,"HVV",-1,"Q34c",16,"Niet belangrijk","Aankorrelplaatsen","Jacht"
"139",2016,"HVV",-1,"Q34d",16,"Niet belangrijk","Nachtjacht","Jacht"
"140",2016,"HVV",-1,"Q34e",75,"Niet belangrijk"," Kooien","Kooien"
"141",2016,"HVV",-1,"Q34f",53,"Niet belangrijk","Preventieve maatregelen","Maatregelen"
"142",2016,"HVV",0,"Q34a",5,"Neutraal","Hoogzitjacht","Jacht"
"143",2016,"HVV",0,"Q34b",35,"Neutraal","Drijfjacht","Jacht"
"144",2016,"HVV",0,"Q34c",24,"Neutraal","Aankorrelplaatsen","Jacht"
"145",2016,"HVV",0,"Q34d",22,"Neutraal","Nachtjacht","Jacht"
"146",2016,"HVV",0,"Q34e",49,"Neutraal"," Kooien","Kooien"
"147",2016,"HVV",0,"Q34f",61,"Neutraal","Preventieve maatregelen","Maatregelen"
"148",2016,"HVV",1,"Q34a",55,"Belangrijk","Hoogzitjacht","Jacht"
"149",2016,"HVV",1,"Q34b",87,"Belangrijk","Drijfjacht","Jacht"
"150",2016,"HVV",1,"Q34c",70,"Belangrijk","Aankorrelplaatsen","Jacht"
"151",2016,"HVV",1,"Q34d",62,"Belangrijk","Nachtjacht","Jacht"
"152",2016,"HVV",1,"Q34e",25,"Belangrijk"," Kooien","Kooien"
"153",2016,"HVV",1,"Q34f",57,"Belangrijk","Preventieve maatregelen","Maatregelen"
"154",2016,"HVV",2,"Q34a",251,"Erg belangrijk","Hoogzitjacht","Jacht"
"155",2016,"HVV",2,"Q34b",151,"Erg belangrijk","Drijfjacht","Jacht"
"156",2016,"HVV",2,"Q34c",193,"Erg belangrijk","Aankorrelplaatsen","Jacht"
"157",2016,"HVV",2,"Q34d",192,"Erg belangrijk","Nachtjacht","Jacht"
"158",2016,"HVV",2,"Q34e",32,"Erg belangrijk"," Kooien","Kooien"
"159",2016,"HVV",2,"Q34f",34,"Erg belangrijk","Preventieve maatregelen","Maatregelen"
"160",2016,"NP",-2,"Q34a",23,"Helemaal niet belangrijk","Hoogzitjacht","Jacht"
"161",2016,"NP",-2,"Q34b",47,"Helemaal niet belangrijk","Drijfjacht","Jacht"
"162",2016,"NP",-2,"Q34c",47,"Helemaal niet belangrijk","Aankorrelplaatsen","Jacht"
"163",2016,"NP",-2,"Q34d",60,"Helemaal niet belangrijk","Nachtjacht","Jacht"
"164",2016,"NP",-2,"Q34e",42,"Helemaal niet belangrijk"," Kooien","Kooien"
"165",2016,"NP",-2,"Q34f",5,"Helemaal niet belangrijk","Preventieve maatregelen","Maatregelen"
"166",2016,"NP",-1,"Q34a",17,"Niet belangrijk","Hoogzitjacht","Jacht"
"167",2016,"NP",-1,"Q34b",34,"Niet belangrijk","Drijfjacht","Jacht"
"168",2016,"NP",-1,"Q34c",34,"Niet belangrijk","Aankorrelplaatsen","Jacht"
"169",2016,"NP",-1,"Q34d",31,"Niet belangrijk","Nachtjacht","Jacht"
"170",2016,"NP",-1,"Q34e",23,"Niet belangrijk"," Kooien","Kooien"
"171",2016,"NP",-1,"Q34f",8,"Niet belangrijk","Preventieve maatregelen","Maatregelen"
"172",2016,"NP",0,"Q34a",41,"Neutraal","Hoogzitjacht","Jacht"
"173",2016,"NP",0,"Q34b",25,"Neutraal","Drijfjacht","Jacht"
"174",2016,"NP",0,"Q34c",26,"Neutraal","Aankorrelplaatsen","Jacht"
"175",2016,"NP",0,"Q34d",21,"Neutraal","Nachtjacht","Jacht"
"176",2016,"NP",0,"Q34e",25,"Neutraal"," Kooien","Kooien"
"177",2016,"NP",0,"Q34f",13,"Neutraal","Preventieve maatregelen","Maatregelen"
"178",2016,"NP",1,"Q34a",37,"Belangrijk","Hoogzitjacht","Jacht"
"179",2016,"NP",1,"Q34b",17,"Belangrijk","Drijfjacht","Jacht"
"180",2016,"NP",1,"Q34c",11,"Belangrijk","Aankorrelplaatsen","Jacht"
"181",2016,"NP",1,"Q34d",10,"Belangrijk","Nachtjacht","Jacht"
"182",2016,"NP",1,"Q34e",23,"Belangrijk"," Kooien","Kooien"
"183",2016,"NP",1,"Q34f",38,"Belangrijk","Preventieve maatregelen","Maatregelen"
"184",2016,"NP",2,"Q34a",9,"Erg belangrijk","Hoogzitjacht","Jacht"
"185",2016,"NP",2,"Q34b",5,"Erg belangrijk","Drijfjacht","Jacht"
"186",2016,"NP",2,"Q34c",10,"Erg belangrijk","Aankorrelplaatsen","Jacht"
"187",2016,"NP",2,"Q34d",3,"Erg belangrijk","Nachtjacht","Jacht"
"188",2016,"NP",2,"Q34e",13,"Erg belangrijk"," Kooien","Kooien"
"189",2016,"NP",2,"Q34f",62,"Erg belangrijk","Preventieve maatregelen","Maatregelen"
